userId,itemId
1,48
1,303
1,1093
1,1419
1,1130
1,3431
1,22
1,3720
1,784
1,3004
2,1917
2,830
2,3844
2,3324
2,2638
2,2391
2,1922
2,673
2,1185
2,3288
3,2081
3,2019
3,356
3,223
3,3272
3,1461
3,1517
3,1059
3,3127
3,3457
4,1954
4,3707
4,275
4,697
4,54
4,1464
4,1136
4,605
4,1977
4,3624
5,288
5,3448
5,2968
5,2550
5,3704
5,1030
5,3163
5,2599
5,1025
5,2810
6,597
6,3861
6,163
6,1544
6,3513
6,3325
6,354
6,3629
6,64
6,553
7,3107
7,3142
7,829
7,3747
7,569
7,662
7,551
7,1310
7,2424
7,2628
8,3257
8,3092
8,3783
8,920
8,1068
8,1219
8,3033
8,3004
8,2733
8,3617
9,2294
9,1970
9,2628
9,786
9,1179
9,3706
9,2730
9,3927
9,2422
9,1396
10,2252
10,3908
10,22
10,1055
10,3707
10,3897
10,1200
10,1963
10,1639
10,1458
11,3182
11,1148
11,2708
11,88
11,3534
11,898
11,1216
11,3635
11,1270
11,1839
12,3362
12,1247
12,800
12,2904
12,1230
12,2457
12,793
12,2008
12,3412
12,419
13,2822
13,344
13,66
13,3514
13,2470
13,464
13,2862
13,1377
13,1394
13,2253
14,1225
14,1244
14,3793
14,2712
14,2943
14,3593
14,1304
14,3556
14,2266
14,2762
15,3510
15,3098
15,1673
15,1394
15,3146
15,3682
15,417
15,3578
15,3889
15,1487
16,2701
16,2763
16,2987
16,3624
16,996
16,3176
16,86
16,2289
16,923
16,1352
17,707
17,2529
17,3175
17,1371
17,1977
17,1200
17,2571
17,1219
17,1303
17,3514
18,1683
18,2353
18,2782
18,846
18,1690
18,141
18,1345
18,2004
18,3441
18,2944
19,1234
19,2997
19,1240
19,2959
19,3510
19,2291
19,94
19,3753
19,3851
19,1923
20,1371
20,2042
20,1011
20,3054
20,1129
20,3548
20,3158
20,296
20,3391
20,3146
21,2800
21,313
21,1007
21,3751
21,2541
21,2119
21,3793
21,1556
21,2288
21,329
22,910
22,2301
22,1183
22,1682
22,1676
22,592
22,2266
22,3326
22,3949
22,163
23,2643
23,2533
23,839
23,546
23,3188
23,3273
23,2291
23,3440
23,3604
23,3755
24,2657
24,3442
24,101
24,3247
24,1247
24,1597
24,745
24,2977
24,3624
24,3669
25,3798
25,314
25,541
25,2759
25,2142
25,3113
25,3267
25,1073
25,3866
25,2987
26,2683
26,3698
26,1263
26,2572
26,1644
26,1266
26,1032
26,3594
26,2764
26,71
27,1204
27,1278
27,1461
27,3441
27,1957
27,2959
27,1104
27,1247
27,2792
27,3512
28,2132
28,2395
28,346
28,2613
28,1299
28,318
28,442
28,3864
28,3107
28,3706
29,2550
29,163
29,1234
29,144
29,3891
29,2905
29,3620
29,521
29,3324
29,3578
30,3554
30,1186
30,1036
30,3249
30,2266
30,2672
30,457
30,1917
30,357
30,2126
31,1485
31,3082
31,3379
31,320
31,246
31,3316
31,3235
31,2959
31,2470
31,2598
32,3286
32,2004
32,3408
32,1240
32,164
32,3730
32,372
32,3723
32,2043
32,3590
33,2746
33,1747
33,3701
33,110
33,1059
33,2020
33,3720
33,996
33,3008
33,2424
34,3257
34,2985
34,3101
34,1379
34,2057
34,2021
34,2431
34,3639
34,3457
34,3498
35,1162
35,1102
35,3442
35,2649
35,1224
35,2406
35,2683
35,3930
35,373
35,427
36,3639
36,457
36,2411
36,225
36,1249
36,1185
36,2865
36,1970
36,3300
36,344
37,1088
37,3157
37,19
37,1199
37,2022
37,3272
37,3147
37,2018
37,2516
37,2949
38,296
38,348
38,888
38,3082
38,2762
38,1580
38,502
38,3882
38,25
38,3555
39,86
39,2987
39,2701
39,2858
39,3512
39,3565
39,3528
39,356
39,1732
39,1265
40,2817
40,2723
40,3828
40,1841
40,1750
40,3559
40,424
40,2080
40,2133
40,2361
41,1643
41,1678
41,2433
41,3777
41,3408
41,2300
41,2931
41,141
41,86
41,3285
42,2371
42,2019
42,3734
42,270
42,2701
42,240
42,3107
42,2877
42,969
42,318
43,2858
43,2987
43,2701
43,1307
43,247
43,5
43,527
43,3801
43,3565
43,3316
44,2297
44,3359
44,1959
44,2006
44,1689
44,3793
44,1333
44,110
44,3706
44,2005
45,355
45,1381
45,671
45,903
45,2555
45,1214
45,3918
45,3273
45,1931
45,190
46,3280
46,2396
46,2747
46,3543
46,1777
46,457
46,3669
46,2273
46,3578
46,3421
47,34
47,1719
47,1996
47,1231
47,2712
47,1094
47,2939
47,1242
47,2683
47,788
48,3051
48,546
48,160
48,3548
48,1422
48,2022
48,2804
48,3308
48,1544
48,3238
49,2311
49,1953
49,1032
49,318
49,2313
49,3424
49,2155
49,2427
49,2382
49,3546
50,1544
50,3354
50,3755
50,3617
50,356
50,3489
50,2727
50,3129
50,1012
50,1754
51,1895
51,357
51,1784
51,3512
51,2916
51,2947
51,1580
51,1358
51,3755
51,1228
52,2706
52,3468
52,3798
52,2470
52,2034
52,225
52,3682
52,1244
52,1589
52,3452
53,581
53,249
53,3566
53,3090
53,3952
53,2447
53,169
53,1527
53,838
53,1562
54,3507
54,1947
54,1073
54,1957
54,901
54,3861
54,1081
54,3674
54,3753
54,2353
55,356
55,3481
55,110
55,39
55,3703
55,1236
55,480
55,456
55,3075
55,2329
56,514
56,2926
56,2883
56,2762
56,3181
56,1200
56,1784
56,111
56,971
56,372
57,1242
57,1254
57,800
57,1222
57,1214
57,223
57,3504
57,2973
57,1230
57,2961
58,66
58,1299
58,3735
58,3173
58,3354
58,3342
58,2297
58,2882
58,356
58,3911
59,1244
59,3554
59,2126
59,1644
59,2731
59,3398
59,356
59,1200
59,1213
59,3033
60,2583
60,153
60,2396
60,391
60,2335
60,2671
60,517
60,3421
60,2171
60,824
61,3908
61,3317
61,1970
61,2950
61,3176
61,3916
61,1946
61,344
61,589
61,1203
62,2939
62,851
62,3608
62,1544
62,3747
62,2759
62,1580
62,2311
62,2599
62,3250
63,541
63,2369
63,3758
63,3476
63,3703
63,565
63,1947
63,2916
63,3386
63,1610
64,3005
64,1094
64,3176
64,1994
64,2288
64,3755
64,3742
64,3593
64,1213
64,3826
65,953
65,908
65,2024
65,2572
65,1421
65,3889
65,2947
65,2711
65,1373
65,3713
66,1961
66,1136
66,236
66,2331
66,3755
66,1240
66,3893
66,3864
66,2972
66,3655
67,902
67,3241
67,1610
67,2640
67,2572
67,1203
67,3669
67,2664
67,673
67,3439
68,2797
68,1449
68,2359
68,3801
68,266
68,3556
68,1784
68,235
68,3764
68,1200
69,476
69,3113
69,3753
69,1907
69,3510
69,573
69,2996
69,1597
69,804
69,3146
70,3793
70,3798
70,2701
70,2712
70,2997
70,799
70,86
70,2770
70,2987
70,3745
71,2959
71,3176
71,1361
71,999
71,2142
71,457
71,785
71,3693
71,1266
71,3753
72,3418
72,3693
72,1186
72,2395
72,1244
72,3629
72,465
72,539
72,2330
72,381
73,3596
73,2712
73,3253
73,926
73,1719
73,173
73,2959
73,3768
73,2901
73,3724
74,2583
74,1449
74,2408
74,1589
74,1531
74,3948
74,296
74,423
74,2507
74,3238
75,2761
75,1240
75,3555
75,3896
75,3827
75,2770
75,3439
75,2300
75,3868
75,1219
76,3513
76,3192
76,141
76,1221
76,2146
76,3176
76,1126
76,66
76,2502
76,3755
77,2907
77,3793
77,3048
77,1036
77,3798
77,2792
77,3705
77,5
77,910
77,456
78,708
78,2006
78,2470
78,3081
78,2707
78,1401
78,1499
78,551
78,2696
78,455
79,2126
79,3481
79,1092
79,3325
79,2692
79,3578
79,3361
79,3004
79,1792
79,357
80,590
80,1673
80,2382
80,2042
80,780
80,3366
80,2921
80,2396
80,1367
80,1747
81,260
81,1359
81,1093
81,3365
81,1923
81,2706
81,2997
81,3072
81,3735
81,594
82,474
82,2192
82,2815
82,1224
82,2434
82,1641
82,2764
82,750
82,1244
82,81
83,2162
83,1266
83,2318
83,1027
83,1920
83,3354
83,3190
83,1449
83,1126
83,515
84,1394
84,1580
84,3398
84,296
84,358
84,2243
84,1374
84,2599
84,1208
84,592
85,3317
85,2171
85,150
85,2369
85,3952
85,648
85,3948
85,1831
85,3747
85,1517
86,54
86,141
86,3717
86,118
86,417
86,3863
86,1197
86,1240
86,2236
86,2096
87,1215
87,2406
87,1266
87,3700
87,1977
87,3602
87,123
87,1597
87,2917
87,3328
88,2973
88,2352
88,2918
88,3488
88,3183
88,914
88,3176
88,63
88,1272
88,2335
89,3740
89,2268
89,3897
89,1266
89,1276
89,1959
89,3765
89,28
89,52
89,3578
90,1429
90,3826
90,3791
90,3354
90,2081
90,3825
90,3176
90,126
90,3927
90,1669
91,920
91,3926
91,3155
91,3246
91,2648
91,1374
91,1387
91,745
91,3767
91,2043
92,1556
92,2453
92,111
92,158
92,2431
92,3510
92,223
92,72
92,3146
92,2243
93,3911
93,393
93,3854
93,3599
93,3864
93,2764
93,3637
93,2000
93,1093
93,2683
94,3837
94,2069
94,70
94,1346
94,2490
94,3576
94,1648
94,793
94,1499
94,1350
95,1921
95,1411
95,2827
95,1093
95,1673
95,2000
95,3594
95,562
95,2491
95,3365
96,1073
96,3301
96,2672
96,3755
96,2019
96,3513
96,296
96,3626
96,3598
96,3325
97,3334
97,1036
97,1376
97,3068
97,2792
97,1952
97,1344
97,1626
97,3578
97,44
98,296
98,1243
98,515
98,94
98,3740
98,3752
98,1646
98,3948
98,1177
98,1525
99,2762
99,2942
99,367
99,3588
99,3435
99,1389
99,611
99,2541
99,427
99,3705
100,1208
100,1247
100,1620
100,246
100,3746
100,1719
100,899
100,3536
100,912
100,1214
101,3841
101,3734
101,3863
101,2184
101,1148
101,1361
101,151
101,1191
101,2906
101,1035
102,2877
102,356
102,923
102,533
102,750
102,2701
102,3754
102,1092
102,3151
102,2640
103,1556
103,502
103,608
103,3270
103,2728
103,1502
103,1240
103,344
103,2357
103,546
104,2490
104,2436
104,2165
104,3747
104,1591
104,1224
104,2089
104,3113
104,2369
104,3301
105,2115
105,553
105,1374
105,1221
105,1096
105,2143
105,1597
105,3751
105,2043
105,161
106,3699
106,2396
106,3108
106,645
106,2551
106,1610
106,1905
106,1249
106,3751
106,3262
107,1147
107,2023
107,3682
107,3952
107,260
107,3608
107,3874
107,29
107,3639
107,3163
108,3927
108,3952
108,2300
108,3793
108,2268
108,1981
108,2042
108,553
108,2976
108,1265
109,1028
109,1941
109,3889
109,2914
109,2858
109,3313
109,1125
109,3409
109,1772
109,1183
110,3452
110,3514
110,2672
110,457
110,541
110,2181
110,3273
110,3578
110,2701
110,3700
111,367
111,265
111,1081
111,3753
111,3827
111,2355
111,933
111,1597
111,551
111,2792
112,3706
112,1446
112,1371
112,1344
112,1525
112,924
112,2389
112,3834
112,386
112,387
113,3895
113,3948
113,1729
113,2959
113,1224
113,1266
113,5
113,1589
113,3824
113,1905
114,3095
114,589
114,2565
114,2507
114,2761
114,1035
114,1084
114,3392
114,2300
114,3391
115,611
115,2951
115,1371
115,1094
115,1208
115,1884
115,2362
115,805
115,1977
115,2001
116,2422
116,1263
116,1288
116,343
116,3362
116,344
116,1205
116,3368
116,3869
116,510
117,3785
117,2701
117,3593
117,3798
117,2944
117,1955
117,1304
117,2371
117,3916
117,3831
118,1957
118,3168
118,2020
118,2353
118,94
118,1358
118,1205
118,353
118,2858
118,1370
119,2719
119,2762
119,2926
119,367
119,2353
